Site,Lat,Lon,I,J,elev,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
NY68,41.994,-74.504,22,34,634,0,0,0,0,0,0,0,0,0,0
OA02,15.65,-96.483,18,27,110,0,0,0,0,0,0,0,0,0,0
OH02,39.308,-82.118,21,33,-9999,0,0,0,0,0,0,0,0,0,0
OK15,36.956,-97.034,18,33,349,0,0,0,0,0,0,0,0,0,0
OK99,35.751,-94.672,18,32,304,0,0,0,0,0,0,0,0,0,13935.36
ON03,45.224,-78.931,21,35,320,0,0,0,7420.1,0,0,0,0,0,0
ON07,44.233,-79.783,21,35,251,0,0,0,0,0,0,4481.2,4703.6,5866.53,5579.25
ON10,45.808,-82.95,20,35,184,0,0,0,0,0,0,0,8247.95,0,0
ON11,43.843,-77.154,22,34,78,0,0,0,0,0,0,0,6589.35,0,0
OR01,45.47,-122.815,12,35,81,0,0,0,0,0,0,0,0,0,3390.43
OR10,44.213,-122.253,13,35,436,0,0,0,0,0,0,0,0,6922.97,6973.21
PA00,39.923,-77.308,22,33,269,0,0,0,0,0,0,7052.54,7791.8,10176.99,10266.84
PA13,40.457,-78.56,21,34,739,0,0,10869.67,9772.35,8931,8241.62,11394.45,9402.44,11380.6,11377.65
PA30,42.156,-80.113,21,34,177,0,0,0,0,0,0,7403.16,8893.73,10416.81,10594.11
PA37,39.816,-80.285,21,33,347,0,0,0,0,0,9426.61,9407.48,9107.21,13003.17,10191.43
PA47,39.99,-76.386,22,33,85,0,0,0,0,0,0,0,0,10505.26,10808.5
PA60,40.117,-75.883,22,34,46,0,0,0,0,0,12554.93,8069.68,10183.74,12133.03,11979.83
PA72,41.327,-74.82,22,34,212,0,0,0,0,0,0,8435.17,9510.96,16241.11,12565.13
PA90,41.804,-77.19,22,34,476,0,0,6993.98,7420.13,6721.93,6331.52,4493.32,6198.56,7881.65,8327.44
PQ04,45.2,-74.033,22,35,49,0,0,0,0,5764.55,7113.5,5250.04,5618.58,7847.18,4872.01
PQ05,50.267,-64.233,24,36,11,0,0,0,0,4932.81,4265.48,5761.41,3043.94,3914.63,4716.85
SC03,33.245,-81.65,21,32,90,0,0,0,0,0,0,0,12463.27,0,0
SC05,32.942,-79.659,21,32,-9999,0,0,0,0,0,0,0,0,0,0
SC19,33.814,-80.781,21,32,145,0,0,14229.22,12675.91,7163.77,9912.44,0,10040.55,12503.1,8960.08
SK12,50.2,-104.717,16,36,-9999,0,0,0,0,0,0,0,2884.33,1850.96,2603.38
TN11,35.665,-83.59,20,32,640,0,0,0,0,0,0,0,0,16456.67,15824.04
TX21,32.379,-94.712,18,32,103,0,0,12134.16,12670.61,10475.75,14477.12,15352.58,11070.3,9233.37,13249.4
TX50,32.693,-97.25,18,32,212,0,0,0,0,0,0,0,13053.87,7207.12,14487.65
VA08,38.422,-78.104,21,33,163,0,0,0,0,0,0,0,0,12822.03,7783.5
VA28,38.522,-78.436,21,33,1074,0,0,0,0,0,0,0,0,12750.38,9709.33
VA98,37.531,-76.493,22,33,13,0,0,0,0,0,0,0,0,0,0
VT99,44.528,-72.869,22,35,399,0,0,0,0,0,0,0,0,0,0
WA18,47.685,-122.258,13,35,25,0,0,17386.859,5226.6,7979.31,5705.05,5887.93,5673.11,6007.97,6785.66
WI08,46.747,-91.605,19,35,207,0,0,6252.74,8700.91,12862.21,9187.21,7085.49,6274.64,4297.28,6225.19
WI09,45.796,-88.399,19,35,421,0,0,5612.54,6219.76,9436.07,9553.81,7765.84,10240.75,5725.23,6203.32
WI10,45.563,-88.808,19,35,563,0,0,0,0,0,0,0,0,0,0
WI22,43.075,-87.883,19,34,222,0,0,0,0,0,0,0,0,8415.93,9940.13
WI31,43.435,-89.68,19,34,389,0,0,0,0,0,0,10209.33,9537.689,8274.89,12483.93
WI32,44.931,-88.755,19,35,319,0,0,0,0,0,0,0,0,7583.54,6031.37
WI36,46.053,-89.653,19,35,501,0,0,8066.14,7692.29,9056.27,8935.03,8102.96,10452.03,6547.78,7174.77
WI99,42.579,-88.501,19,34,288,0,0,7520.05,12558.67,8847.479,20344.891,13216.41,8927.47,9031.14,7976.12
WY07,44.565,-110.4,15,35,2468,0,0,0,0,0,0,0,0,3602.32,0
WY08,44.917,-110.42,15,35,1912,0,0,0,0,0,0,0,0,0,0
