Date,Lat,Lon,GEM (ng/m3)
4/11/07,42.23856667,-70.25243333,2.613240741
4/14/07,42.50853333,-70.0793,2.24475
4/15/07,43.264375,-64.36995,2.338819444
4/16/07,44.2585,-57.41359091,2.017453283
4/17/07,44.31983333,-49.20018333,2.028541667
4/18/07,44.5409,-47.19238,2.285516667
4/19/07,48.37884286,-37.41272857,2.54452381
4/20/07,50.90244545,-30.6167,2.66980303
4/21/07,53.7231,-22.62705,2.210990741
4/22/07,56.77285,-13.39296667,2.24637963
4/23/07,58.63193636,-3.684581818,2.149393939
4/24/07,58.16272,2.79024,2.276683333
