# Monthly wet deposition fluxes (ng/m2/d). Data provided by O. Travnikov, Global Mercury Assessment 2018
# SiteID,Lat,Lon,Month,Year,Concentration
LR,46.7466,-91.6055,6,2015,0.258521E+02
LR,46.7466,-91.6055,7,2015,0.399516E+02
LR,46.7466,-91.6055,8,2015,0.215275E+02
LR,46.7466,-91.60559,9,2015,0.308399E+02
LR,46.7466,-91.60559,10,2015,0.131671E+02
LR,46.7466,-91.60559,11,2015,0.126761E+02
LR,46.7466,-91.60559,12,2015,0.791276E+01
BMH,33.553,-86.8148,1,2015,0.127243E+02
BMH,33.553,-86.8148,2,2015,0.227736E+02
BMH,33.553,-86.8148,3,2015,0.333671E+02
BMH,33.553,-86.8148,4,2015,0.607628E+02
BMH,33.553,-86.8148,5,2015,0.444118E+02
BMH,33.553,-86.8148,6,2015,0.374587E+02
BMH,33.553,-86.8148,7,2015,0.120780E+03
BMH,33.553,-86.8148,8,2015,0.587373E+02
BMH,33.553,-86.8148,9,2015,0.145272E+02
BMH,33.553,-86.8148,10,2015,0.215116E+02
BMH,33.553,-86.8148,11,2015,0.862301E+02
BMH,33.553,-86.8148,12,2015,0.102106E+03
BRG,44.1075,-70.7289,1,2015,0.530738E+01
BRG,44.1075,-70.7289,2,2015,0.279860E+01
BRG,44.1075,-70.7289,3,2015,0.411641E+01
BRG,44.1075,-70.7289,4,2015,0.141684E+02
BRG,44.1075,-70.7289,5,2015,0.206276E+02
BRG,44.1075,-70.7289,6,2015,0.220233E+02
BRG,44.1075,-70.7289,7,2015,0.176843E+02
BRG,44.1075,-70.7289,8,2015,0.234419E+02
BRG,44.1075,-70.7289,9,2015,0.149084E+02
BRG,44.1075,-70.7289,10,2015,0.183523E+02
BRG,44.1075,-70.7289,11,2015,0.638679E+01
BRG,44.1075,-70.7289,12,2015,0.116232E+02
BRX,40.868,-73.8782,1,2015,0.211759E+02
BRX,40.868,-73.8782,2,2015,0.110022E+02
BRX,40.868,-73.8782,3,2015,0.204819E+02
BRX,40.868,-73.8782,4,2015,0.194652E+02
BRX,40.868,-73.8782,5,2015,0.258614E+02
BRX,40.868,-73.8782,6,2015,0.389228E+02
BRX,40.868,-73.8782,7,2015,0.231868E+02
BRX,40.868,-73.8782,8,2015,0.160297E+02
BRX,40.868,-73.8782,9,2015,0.850269E+01
BRX,40.868,-73.8782,10,2015,0.118023E+02
BRX,40.868,-73.8782,11,2015,0.925465E+01
BRX,40.868,-73.8782,12,2015,0.198028E+02
BSB,41.9936,-74.5031,1,2015,0.777271E+01
BSB,41.9936,-74.5031,2,2015,0.123453E+02
BSB,41.9936,-74.5031,3,2015,0.119015E+02
BSB,41.9936,-74.5031,4,2015,0.263213E+02
BSB,41.9936,-74.5031,5,2015,0.268951E+02
BSB,41.9936,-74.5031,6,2015,0.567131E+02
BSB,41.9936,-74.5031,7,2015,0.269006E+02
BSB,41.9936,-74.5031,8,2015,0.161204E+02
BSB,41.9936,-74.5031,9,2015,0.158463E+02
BSB,41.9936,-74.5031,10,2015,0.146389E+02
BSB,41.9936,-74.5031,11,2015,0.134930E+02
BSB,41.9936,-74.5031,12,2015,0.164191E+02
BTV,39.028,-76.8171,1,2015,0.159664E+02
BTV,39.028,-76.8171,2,2015,0.104772E+02
BTV,39.028,-76.8171,3,2015,0.255753E+02
BTV,39.028,-76.8171,4,2015,0.252451E+02
BTV,39.028,-76.8171,5,2015,0.243362E+02
BTV,39.028,-76.8171,6,2015,0.732522E+02
BTV,39.028,-76.8171,7,2015,0.255183E+02
BTV,39.028,-76.8171,8,2015,0.205589E+02
BTV,39.028,-76.8171,9,2015,0.101344E+02
BTV,39.028,-76.8171,10,2015,0.162279E+02
BTV,39.028,-76.8171,11,2015,0.132548E+02
BTV,39.028,-76.8171,12,2015,0.116171E+02
CBS,41.0347,-72.3891,1,2015,0.962730E+01
CBS,41.0347,-72.3891,2,2015,0.638112E+01
CBS,41.0347,-72.3891,3,2015,0.195506E+02
CBS,41.0347,-72.3891,4,2015,0.109483E+02
CBS,41.0347,-72.3891,5,2015,0.892344E+01
CBS,41.0347,-72.3891,6,2015,0.220648E+02
CBS,41.0347,-72.3891,7,2015,0.143158E+02
CBS,41.0347,-72.3891,8,2015,0.102302E+01
CBS,41.0347,-72.3891,9,2015,0.924957E+01
CBS,41.0347,-72.3891,10,2015,0.979564E+01
CBS,41.0347,-72.3891,11,2015,0.705355E+01
CBS,41.0347,-72.3891,12,2015,0.473131E+01
CFY,38.1992,-95.6646,1,2015,0.466250E+01
CFY,38.1992,-95.6646,2,2015,0.141187E+02
CFY,38.1992,-95.6646,3,2015,0.272399E+02
CFY,38.1992,-95.6646,4,2015,0.557825E+02
CFY,38.1992,-95.6646,5,2015,0.656703E+02
CFY,38.1992,-95.6646,6,2015,0.578799E+02
CFY,38.1992,-95.6646,7,2015,0.286961E+02
CFY,38.1992,-95.6646,8,2015,0.474573E+02
CFY,38.1992,-95.6646,9,2015,0.448219E+02
CFY,38.1992,-95.6646,10,2015,0.826691E+01
CFY,38.1992,-95.6646,11,2015,0.329352E+02
CFY,38.1992,-95.6646,12,2015,0.769094E+01
CGS,33.8145,-80.7809,1,2015,0.342314E+02
CGS,33.8145,-80.7809,2,2015,0.196578E+02
CGS,33.8145,-80.7809,3,2015,0.190060E+02
CGS,33.8145,-80.7809,4,2015,0.264291E+02
CGS,33.8145,-80.7809,5,2015,0.929256E+01
CGS,33.8145,-80.7809,6,2015,0.625866E+02
CGS,33.8145,-80.7809,7,2015,0.354605E+02
CGS,33.8145,-80.7809,8,2015,0.200009E+02
CGS,33.8145,-80.7809,9,2015,0.273056E+02
CGS,33.8145,-80.7809,10,2015,0.165985E+02
CGS,33.8145,-80.7809,11,2015,0.226576E+02
CGS,33.8145,-80.7809,12,2015,0.182357E+02
CHW,28.7486,-82.5551,1,2015,0.292295E+02
CHW,28.7486,-82.5551,2,2015,0.147011E+02
CHW,28.7486,-82.5551,3,2015,0.149082E+02
CHW,28.7486,-82.5551,4,2015,0.423039E+02
CHW,28.7486,-82.5551,5,2015,0.549013E+02
CHW,28.7486,-82.5551,6,2015,0.737728E+02
CHW,28.7486,-82.5551,7,2015,0.716730E+02
CHW,28.7486,-82.5551,8,2015,0.981725E+02
CHW,28.7486,-82.5551,9,2015,0.490017E+02
CHW,28.7486,-82.5551,10,2015,0.102439E+02
CHW,28.7486,-82.5551,11,2015,0.147858E+02
CHW,28.7486,-82.5551,12,2015,0.186524E+02
CLF,38.7622,-85.4202,1,2015,0.109344E+02
CLF,38.7622,-85.4202,2,2015,0.819366E+01
CLF,38.7622,-85.4202,3,2015,0.395166E+02
CLF,38.7622,-85.4202,4,2015,0.475087E+02
CLF,38.7622,-85.4202,5,2015,0.184986E+02
CLF,38.7622,-85.4202,6,2015,0.101246E+03
CLF,38.7622,-85.4202,7,2015,0.647546E+02
CLF,38.7622,-85.4202,8,2015,0.171989E+02
CLF,38.7622,-85.4202,9,2015,0.631774E+01
CLF,38.7622,-85.4202,10,2015,0.183924E+02
CLF,38.7622,-85.4202,11,2015,0.315953E+02
CLF,38.7622,-85.4202,12,2015,0.364219E+02
CND,35.2632,-79.8365,1,2015,0.113459E+02
CND,35.2632,-79.8365,2,2015,0.116391E+02
CND,35.2632,-79.8365,3,2015,0.855495E+01
CND,35.2632,-79.8365,4,2015,0.227737E+02
CND,35.2632,-79.8365,5,2015,0.124011E+02
CND,35.2632,-79.8365,6,2015,0.528783E+02
CND,35.2632,-79.8365,7,2015,0.354034E+02
CND,35.2632,-79.8365,8,2015,0.172482E+02
CND,35.2632,-79.8365,9,2015,0.243207E+02
CND,35.2632,-79.8365,10,2015,0.242446E+02
CND,35.2632,-79.8365,11,2015,0.228359E+02
CND,35.2632,-79.8365,12,2015,0.268340E+02
CNF,34.1938,-116.9131,1,2015,0.456898E+01
CNF,34.1938,-116.9131,2,2015,0.543333E+01
CNF,34.1938,-116.9131,3,2015,0.314819E+01
CNF,34.1938,-116.9131,4,2015,0.621670E+01
CNF,34.1938,-116.9131,5,2015,0.322741E+01
CNF,34.1938,-116.9131,6,2015,0.141029E+02
CNF,34.1938,-116.9131,7,2015,0.507503E+02
CNF,34.1938,-116.9131,8,2015,0.474727E+01
CNF,34.1938,-116.9131,9,2015,0.276729E+02
